,source,target,source_gptzero,source_detectgpt,target_gptzero,target_detectgpt
0,"dr. goldberg offers everything i look for in a general practitioner.  he's nice and easy to talk to without being patronizing; he's always on time in seeing his patients; he's affiliated with a top-notch hospital (nyu) which my parents have explained to me is very important in case something happens and you need surgery; and you can get referrals to see specialists without having to see him first.  really, what more do you need?  i'm sitting here trying to think of any complaints i have about him, but i'm really drawing a blank.","Dr. Goldberg embodies all the qualities I desire in a primary care physician. He is approachable yet respectful and punctual when it comes to appointments. Being affiliated with a renowned hospital like NYU provides reassurance in case of surgical intervention. Additionally, he allows patients to seek specialist consultations without requiring prior meetings with him. Frankly, I cannot envision any drawbacks associated with his practice.",0,1,0,1
1,"Unfortunately, the frustration of being Dr. Goldberg's patient is a repeat of the experience I've had with so many other doctors in NYC -- good doctor, terrible staff.  It seems that his staff simply never answers the phone.  It usually takes 2 hours of repeated calling to get an answer.  Who has time for that or wants to deal with it?  I have run into this problem with many other doctors and I just don't get it.  You have office workers, you have patients with medical needs, why isn't anyone answering the phone?  It's incomprehensible and not work the aggravation.  It's with regret that I feel that I have to give Dr. Goldberg 2 stars.","The recurring issue of dealing with unresponsive staff at Dr. Goldberg's office is sadly familiar to me, as it is to many patients seeking medical attention in New York City. Despite Dr. Goldberg being a competent physician, his staff's tendency to not answer the phone presents a frustrating obstacle. It's exasperating to spend up to two hours or more calling repeatedly just to get a response. I'm not alone in this - this is a common problem I've faced with other medical professionals in the area. It's perplexing why, with office staff available and patients with pressing medical concerns, calls are not being answered. It's unfathomable and adds unnecessary stress. I reluctantly must give Dr. Goldberg only two stars due to this persistent issue.",1,1,1,1
2,"Been going to Dr. Goldberg for over 10 years. I think I was one of his 1st patients when he started at MHMG. He's been great over the years and is really all about the big picture. It is because of him, not my now former gyn Dr. Markoff, that I found out I have fibroids. He explores all options with you and is very patient and understanding. He doesn't judge and asks all the right questions. Very thorough and wants to be kept in the loop on every aspect of your medical health and your life.","I have been seeing Dr. Goldberg at MHMG for more than a decade now. As one of his first patients, he has been an exceptional doctor all these years. He is focused on the big picture and helps his patients explore all possible options. Dr. Goldberg is very considerate, and he never judges his patients. He always asks insightful questions and is very thorough in his examination. He truly cares about his patients' medical health and wants to be informed about all aspects of their lives. It was thanks to him that I discovered I had fibroids, not my previous gynecologist, Dr. Markoff.",0,1,1,1
3,Got a letter in the mail last week that said Dr. Goldberg is moving to Arizona to take a new position there in June.  He will be missed very much.  \n\nI think finding a new doctor in NYC that you actually like might almost be as awful as trying to find a date!,Received news via mail that Dr. Goldberg will be relocating to Arizona in June for a fresh opportunity. His absence shall be deeply felt. The challenge of discovering a new physician in New York City whom you actually approve of might be just as daunting as searching for a romantic partner!,0,1,0,1
4,"I don't know what Dr. Goldberg was like before  moving to Arizona, but let me tell you, STAY AWAY from this doctor and this office. I was going to Dr. Johnson before he left and Goldberg took over when Johnson left. He is not a caring doctor. He is only interested in the co-pay and having you come in for medication refills every month. He will not give refills and could less about patients's financial situations. Trying to get your 90 days mail away pharmacy prescriptions through this guy is a joke. And to make matters even worse, his office staff is incompetent. 90% of the time when you call the office, they'll put you through to a voice mail, that NO ONE ever answers or returns your call. Both my adult children and husband have decided to leave this practice after experiencing such frustration. The entire office has an attitude like they are doing you a favor. Give me a break! Stay away from this doc and the practice. You deserve better and they will not be there when you really need them. I have never felt compelled to write a bad review about anyone until I met this pathetic excuse for a doctor who is all about the money.","I had been seeing Dr. Johnson for some time before he retired and Dr. Goldberg took over. In my opinion, Dr. Goldberg's approach to patient care is lacking. He seems more focused on making money and scheduling appointments for monthly medication refills than on providing quality care. Additionally, getting prescriptions filled through his office can be a challenge, and the office staff is often unresponsive. After several frustrating experiences, both my family members and I have decided to seek healthcare elsewhere. I wouldn't recommend this doctor or practice to anyone else seeking compassionate care.",1,1,0,1
5,Top notch doctor in a top notch practice. Can't say I am surprised when I was referred to him by another doctor who I think is wonderful and because he went to one of the best medical schools in the country. \nIt is really easy to get an appointment. There is minimal wait to be seen and his bedside manner is great.,"I was pleased to be recommended to this exceptional doctor who practices in a top-tier medical facility. I am not surprised by his caliber as he was educated at one of the nation's finest medical schools. Booking an appointment is effortless, the wait times are short, and the doctor's demeanor is genuinely comforting.",0,1,0,0
6,"Dr. Eric Goldberg is a fantastic doctor who has correctly diagnosed every issue that my wife and I have had. Unlike many of my past doctors, Dr. Goldberg is very accessible and we have been able to schedule appointments with him and his staff very quickly. We are happy to have him in the neighborhood and look forward to being his patients for many years to come.","My wife and I have found Dr. Eric Goldberg to be a highly dependable physician, who has been spot-on with the diagnosis of all our health concerns. With Dr. Goldberg and his team, scheduling appointments has been a breeze, unlike our previous experiences with other doctors. We feel grateful to have him as our physician nearby and wish to continue being his patients in the long run.",0,1,0,1
7,"I'm writing this review to give you a heads up before you see this Doctor. The office staff and administration are very unprofessional. I left a message with multiple people regarding my bill, and no one ever called me back. I had to hound them to get an answer about my bill. \n\nSecond, and most important, make sure your insurance is going to cover Dr. Goldberg's visits and blood work. He recommended to me that I get a physical, and he knew I was a student because I told him. I got the physical done. Later, I found out my health insurance doesn't pay for preventative visits. I received an $800.00 bill for the blood work. I can't pay for my bill because I'm a student and don't have any cash flow at this current time. I can't believe the Doctor wouldn't give me a heads up to make sure my insurance would cover work that wasn't necessary and was strictly preventative. The office can't do anything to help me cover the bill. In addition, the office staff said the onus is on me to make sure my insurance covers visits. Frustrating situation!","Prior to seeing Dr. Goldberg, it's important to note that the office staff and administration are unprofessional. I left multiple messages regarding my bill and didn't receive a call back until I kept reminding them. Also, ensure that your insurance covers Dr. Goldberg's visits and blood work. I received a physical on his recommendation, only to find out that my insurance doesn't pay for preventative visits, which resulted in an $800 bill for the blood work. The doctor didn't inform me and the office is unable to assist with the bill. It's your responsibility to ensure your insurance will cover visits, which is frustrating.",1,1,1,1
8,"Wing sauce is like water. Pretty much a lot of butter and some hot sauce (franks red hot maybe).  The whole wings are good size and crispy, but for $1 a wing the sauce could be better. The hot and extra hot are about the same flavor/heat.  The fish sandwich is good and is a large portion, sides are decent.","Wing sauce can be compared to water, as it is usually made with a generous amount of butter and a dash of hot sauce, maybe Franks Red Hot. Although the wings themselves are large and crispy, the sauce could be improved for the price of $1 per wing. The hot and extra hot variations have a similar level of heat and flavor. Apart from the wings, the fish sandwich is also delicious and comes in a generous serving size, while the sides are decent.",1,1,0,1
9,"Decent range somewhat close to the city.  The mats are pretty solid; however, the grass range needs to be tended too.  It's like hitting out of US Open type rough...not very amenable to practicing.  Which kind of defeats the purpose of going to a golf range...Still gets 3 stars because the range is lit up at night which is excellent for those of us who are addicted to this amazing game, but are somewhat short on time (having a job kinda sucks sometimes, no?).","The golf range offers a good selection of options and is conveniently located near the city. The quality of the mats is satisfactory, although the grass range could use some improvement as it feels like hitting out of rough terrain. Despite this, the range is still rated 3 stars due to its convenient night lighting, providing an opportunity for busy individuals to continue practicing their favorite game.",1,1,0,1
10,"Owning a driving range inside the city limits is like a license to print money.  I don't think I ask much out of a driving range.  Decent mats, clean balls and accessible hours.  Hell you need even less people now with the advent of the machine that doles out the balls.  This place has none of them.  It is april and there are no grass tees yet.  BTW they opened for the season this week although it has been golfing weather for a month.  The mats look like the carpet at my 107 year old aunt Irene's house.  Worn and thread bare.  Let's talk about the hours.  This place is equipped with lights yet they only sell buckets of balls until 730.  It is still light out.  Finally lets you have the pit to hit into.  When I arrived I wasn't sure if this was a driving range or an excavation site for a mastodon or a strip mining operation.  There is no grass on the range. Just mud.  Makes it a good tool to figure out how far you actually are hitting the ball.  Oh, they are cash only also.\n\nBottom line, this place sucks.  The best hope is that the owner sells it to someone that actually wants to make money and service golfers in Pittsburgh.","Running a driving range in the city is a lucrative opportunity, as long as it meets some basic requirements. Customers expect clean balls, decent mats, and reasonable hours. New technology also means fewer people are needed to operate the range. Unfortunately, the driving range I visited doesn't live up to these standards. It's already April and the grass tees are still not available, even though the weather has been perfect for golfing for over a month. The mats are worn down and the hours are limited, even though the range has lights. When I arrived, it almost looked like an excavation site or strip mining operation, there was so much mud and no grass on the range. The only saving grace is that it can help you measure your shot distance. Plus, they only accept cash. All in all, this driving range is a disappointment. Hopefully, the owner will find someone who cares about satisfying golfers and earning revenue for Pittsburgh.",1,1,0,1
11,"This place is absolute garbage...  Half of the tees are not available, including all the grass tees.  It is cash only, and they sell the last bucket at 8, despite having lights.  And if you finish even a minute after 8, don't plan on getting a drink.  The vending machines are sold out (of course) and they sell drinks inside, but close the drawers at 8 on the dot.  There are weeds grown all over the place.  I noticed some sort of batting cage, but it looks like those are out of order as well.  Someone should buy this place and turn it into what it should be.","This golf course is far from satisfactory. Several tees, including the grass ones, are not available. Furthermore, they only accept cash and discontinue selling buckets at 8pm, despite having lights. If you are not done by 8 pm, forget about purchasing drinks as the vending machines are empty, and they close the drawers at 8 pm sharp. The course is ill-maintained with weeds growing in several places, and the batting cage appears to be out of order too. Someone needs to purchase this course and transform it into what it is supposed to be.",0,1,0,1
12,"I drove by yesterday to get a sneak peak.  It re-opens on July 14th and I can't wait to take my kids.  The new range looks amazing.  The entire range appears to be turf, which may or many not help your game, but it looks really nice.  The tee boxes look state of the art and the club house looks like something you'll see on a newer course.  Can't wait to experience it!","Yesterday, I took a quick drive past the upcoming opening of the new range. I'm eagerly anticipating July 14th when I can bring my kids to check it out. Based on what I saw, the entire range appears to be covered in turf, which while it may not improve your game, definitely has an impressive aesthetic. The tee boxes themselves look modern and high-quality, while the club house could easily fit in on any newer course. Needless to say, I can't wait to see it all for myself soon!",0,1,0,1
